"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",2330.145,0.343,10.331,0,0,0,0,0,7214.25,107.915,5.434,0.033,0,0.513,31.04,0.029,0.461,0.166,0,0,0.049,0,18.642,0,0,0,0.058,0,0.015,56.038,55.351,0,0,0,0.067,0,940.159,0.302,0,0,0.01,6.21,0.455,11.745,26.676,6.683,0,6.33,4.152,0,7288.474,1.226,0.269,93.82,1.122,0,159.26,384.409,0,18762.185
"DOM_A02",1.597,0.036,0.028,0.006,0,0,0,0,5.144,0.097,10.411,13.13,0.002,0.156,0.021,8.201,0.006,0.008,0.002,0.013,0.055,0.011,0.039,0.004,0.093,0.003,3.108,0.002,0.01,1.089,0.205,0.004,0.001,0.008,0.007,0.002,0.883,0.005,0.001,0.008,0.021,0.036,0.069,0.137,0.079,0.016,0.02,0.013,0.081,0,6.483,0.427,0.072,8.519,0.01,0,0.344,3.781,0,64.504
"DOM_A03",1.166,0.017,34.922,0,0,0,0,0,67.128,0.004,0,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.002,1.419,0,0,0,0,0,206.257,0,0,0,0,0.073,0,0.111,1.284,0.332,0.224,0.451,0.216,0,1204.744,0.232,0,0.006,3.698,0,13.114,1218.504,0,2753.909
"DOM_B05",0.006,0,0.002,0.254,0.002,0.056,0.331,0.199,0.719,2.087,0,1.402,9.189,14.422,0.019,1.111,24.621,53.963,0.098,0.025,0.814,0.028,0.037,0.002,0,0,0.022,89.107,0.056,13.188,0.023,0,0,0,0,0,0.001,0,0,0,0,0.001,0.001,0.006,0.003,0.003,0.001,0.002,0,0,3.099,0,0.006,0.205,0,0,0,47.031,0,262.143
"DOM_B06",0,0,0,0,0.406,0,0.001,0.001,0.003,0.004,0,0.007,363.29,0.089,0,0.006,0.186,0.102,0.004,0.001,0.008,0,0.001,0,0,0,0.001,168.364,0,0.131,0.002,0.001,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0.017,0,0.004,0.157,0,0,0,31.529,0,564.322
"DOM_B07",0,0,0,0,0.003,0,0.002,0.001,0.006,0.007,0,0.012,0.036,0.146,0,0.011,0.299,0.184,0.009,0.003,0.037,0.003,0.003,0.001,0.001,0.001,0.002,0.191,0.001,0.217,0.016,0.001,0,0,0.001,0,0.001,0.002,0.001,0.001,0.003,0.009,0.01,0.002,0.007,0.001,0.002,0,0.002,0,0.024,0,0.008,0.153,0,0,0.005,179.604,0,181.029
"DOM_B08",0.045,0,0.02,0.206,0,0.187,4.005,0.902,6.123,11.594,0,10.336,29.042,281.959,0.119,10.499,494.999,322.991,8.834,0.321,6.372,0.173,0.444,0.012,0,0,0.217,98.57,0.351,321.033,0.162,0,0,0,0,0,0,0,0,0,0,0,0.006,0.038,0.017,0.014,0,0.011,0,0,43.384,0,0.001,0.022,0,0,0,63.862,0,1716.871
"DOM_B09",0.038,0,0.028,0.175,4.703,0.115,0.49,0.909,2.598,0.006,0,9.409,32.312,3.789,0.038,7.508,94.161,7.977,2.448,0.26,2.118,0.055,0.32,0.012,0,0,0.218,186.348,0.122,87.803,0.092,0,0,0,0,0,0,0,0,0,0,0,0.005,0.013,0.021,0.004,0,0.003,0,0,0.005,0,11.63,458.212,0,0,0,14.078,0,928.025
"DOM_C10T12",1858.75,0.248,103.84,0.055,0.069,0.039,0.373,0.213,4522.511,23.577,2.042,27.786,3.643,120.349,36.655,23.616,17.684,19.006,5.462,12.41,109.329,7.221,11.496,3.2,4.033,3.665,75.22,3.255,4.636,22.049,260.6,6.565,1.064,3.663,2.226,0.695,4404.756,5.814,2.649,2.559,3.049,48.766,14.597,3.461,149.445,32.521,42.65,381.465,31.124,0,21053.871,5.65,9.407,71.569,6.966,0,612.434,3736.416,0,37916.414
"DOM_C13T15",31,0.048,12.43,0.119,0.188,0.082,0.802,0.465,86.518,3614.522,2.647,75.691,5.709,232.046,7.979,176.222,25.57,29.431,5.354,49.296,344.444,22.897,44.324,41.325,27.044,18.274,320.83,4.065,4.381,70.993,137.063,6.895,0.479,5.258,2.691,1.574,156.01,6.713,4.789,6.757,5.157,8.393,59.702,6.281,44.672,11.433,14.325,6.41,47.249,0,5556.849,1.095,3.059,140.226,27.796,0,429.275,7227.128,0,19171.977
"DOM_C16",11.023,0.001,0.83,0.177,0.007,0.004,0.043,0.028,4.542,1.376,356.423,45.542,0.262,3.974,0.325,3.181,6.066,1.951,5.319,22.04,14.413,6.634,14.841,5.248,27.48,1.921,207.823,0.786,0.178,747.681,41.285,0.44,0.035,0.112,0.793,0.19,30.641,1.028,0.155,0.436,0.612,1.258,16.355,1.532,2.712,4.966,0.775,1.661,18.541,0,65.682,0.051,0.247,11.282,0.332,0,20.709,198.88,0,1910.833
"DOM_C17_18",16.463,0.276,1.605,0.037,0.315,0.025,0.233,0.14,448.093,77.593,30.154,2483.656,3.581,176.026,47.072,153.438,84.084,30.813,31.711,96.084,595.236,61.768,60.183,29.28,2.66,11.698,186.779,5.31,8.794,110.941,973.354,13.439,0.373,6.914,8.428,10.291,493.908,660.041,77.427,20.69,145.308,43.506,769.105,291.67,459.514,187.875,108.229,58.896,473.621,0,874.794,0.074,1.193,23.629,5.286,0,83.489,2366.241,0,12911.342
"DOM_C19",254.474,1.08,166.224,33.656,3.608,23.514,248.044,118.458,200.596,182.787,25.423,179.364,1198.735,6528.64,29.208,421.312,370.623,1723.242,97.351,338.604,1265.963,176.819,208.819,70.907,26.36,27.995,103.863,201.357,83.298,784.233,1199.181,1715.852,112.914,1938.625,146.038,35.713,144.356,21.218,33.243,6.001,19.259,51.775,103.399,206.573,188.884,53.505,78.658,17.763,102.333,0,2662.42,0.351,1.132,24.13,44.001,0,256.264,16302.165,0,40560.309
"DOM_C20",583.113,0.113,4.328,2.358,3.264,2.315,15.222,9.324,324.526,1319.855,46.48,695.558,139.282,24746.096,270.041,3917.499,383.541,350.026,399.963,795.217,11594.48,400.156,224.262,231.885,100.032,70.583,611.554,22.555,141.26,800.824,456.219,18.226,0.802,6.386,7.651,1.539,293.909,63.77,15.812,7.887,11.504,20.987,423.209,391.688,69.683,126.337,227.817,37.597,183.017,0,2682.587,1.03,12.317,271.143,2.529,0,113.194,31877.284,0,85529.837
